NameOLD,NickNameOLD,Name,Nickname
Robert,"Rab, Rabbie",robert,"rab, rabbie"
Ralph,"Rafe, Ralf, Rauf",ralph,"rafe, ralf, rauf"
Randell,Randy,randell,randy
Raymond,Ray,raymond,ray
Reginald,"Reg, Reggie, Rex",reginald,"reg, reggie, rex"
Richard,"Rich, Rick",richard,"rich, rick"
Robert,"Rob, Robin",robert,"rob, robin"
Roderick,Rod,roderick,rod
Ralph,Rolf,ralph,rolf
Rowland,Rolley,rowland,rolley
Ronald,"Ron, Ronnie",ronald,"ron, ronnie"
Roderick,Rory,roderick,rory
Reuben,Rube,reuben,rube
Rudolph,Rudy,rudolph,rudy
Russell,"Russ, Rusty",russell,"russ, rusty"
"Samson, Samuel","Sam, Sammy","samson, samuel","sam, sammy"
Alexander,"Sacha, Sandy",alexander,"sacha, sandy"
Sebastian,Seb,sebastian,seb
Joseph,Sepp,joseph,sepp
Josiah,"Si, Sy",josiah,"si, sy"
Sidney,"Sid, Syd",sidney,"sid, syd"
Sydney,Syd,sydney,syd
Simon,Sim,simon,sim
Symeon,Sym,symeon,sym
Solomon,Solly,solomon,solly
Stanley,Stan,stanley,stan
"Stephen, Steven",Steve,"stephen, steven",steve
Stewart,Stew,stewart,stew
Stuart,Stu,stuart,stu
Adam,Taddy,adam,taddy
David,Taffy,david,taffy
Terence,Terry,terence,terry
Thadeus,Thad,thadeus,thad
Theodore,Theo,theodore,theo
Timothy,"Tim, Timmy",timothy,"tim, timmy"
Tobias,Toby,tobias,toby
Bartholomew,Tolly,bartholomew,tolly
Thomas,"Tom, Tommy",thomas,"tom, tommy"
Anthony,Tony,anthony,tony
Valentine,Val,valentine,val
Victor,Vic,victor,vic
Vincent,Vince,vincent,vince
Vivian,Vib,vivian,vib
Oswald,Waldo,oswald,waldo
"Wallace, Walter",Wally,"wallace, walter",wally
Walter,"Walt, Wat",walter,"walt, wat"
Wesley,Wes,wesley,wes
Guy,Wido,guy,wido
Wilfred,Wilf,wilfred,wilf
William,"Will, Willie, Wilkin",william,"will, willie, wilkin"
Isaac,"Zac, Zach, Zack",isaac,"zac, zach, zack"
Zachariah,"Zac, Zach, Zack",zachariah,"zac, zach, zack"
Zebulon,Zeb,zebulon,zeb
Zebediah,Zeb,zebediah,zeb
Zebedee,Zeb,Zebedee,
Ezakiah,Zeke,ezakiah,zeke
Ezekiel,Zeke,ezekiel,zeke
